X,Y,Z,azimuth,dip,polarity,formation
278300.2893928638,6451780.71994615,583.3035784169715,140,15,1,Umberatana_Group
279317.4407970496,6451155.933408737,607.1500973611933,100,65,1,Unnamed_GIS_Unit___see_description
279343.30957065604,6452744.984508133,621.013072911694,105,45,1,Umberatana_Group
281895.7507304946,6453896.722404829,633.1368511957394,100,25,1,Umberatana_Group
283128.32317469304,6453852.4599621035,619.4297054809944,120,20,1,Umberatana_Group
284773.11606598215,6456583.374165501,688.3053883102904,0,90,1,Umberatana_Group
285451.2884014632,6453978.590029422,669.9949872215653,0,90,1,Yerelina_Subgroup
288148.78568070993,6456301.25270731,700.3578827867568,270,25,1,Yerelina_Subgroup
303091.99117651535,6457450.032603115,371.127381283791,90,30,1,Unnamed_GIS_Unit___see_description
298239.9684959691,6456896.856623148,402.347081750268,100,80,1,Emeroo_Subgroup
296056.6982442745,6455679.136778163,457.3791815152835,100,90,1,Emeroo_Subgroup
294380.63821100537,6455083.2251519,520.4690009741408,75,45,1,Emeroo_Subgroup
294642.78597729054,6453300.203450883,497.06189350214316,255,50,1,Emeroo_Subgroup
292880.04666500085,6453059.218483817,563.6758690221635,285,60,1,Burra_Group
288675.2940077485,6454177.810343403,563.668681594087,285,40,1,Umberatana_Group
287560.6920825032,6451185.635711232,676.0052720847802,275,30,1,Yerelina_Subgroup
285905.36676722555,6445003.8410029095,665.1295161200885,285,55,1,Wilpena_Group
289145.00643797347,6444948.983305662,631.7432402799775,290,70,1,Umberatana_Group
293854.40433492366,6449015.037124816,555.8612919443169,275,45,1,Emeroo_Subgroup
291558.47620562004,6444942.633937301,550.6353824371463,270,65,1,Burra_Group
291872.1602500739,6441457.073085783,527.3966163614214,250,25,1,Emeroo_Subgroup
292610.5314192717,6440225.6966908,529.5744294619284,165,50,1,Emeroo_Subgroup
295770.54685990955,6441555.436646698,467.8011229128736,150,70,1,Emeroo_Subgroup
296633.93359071936,6443216.767995371,442.2799364284524,155,45,1,Emeroo_Subgroup
300411.84320944606,6445474.503133016,394.86022619696365,40,20,1,Emeroo_Subgroup
301295.01746736607,6447078.8393324055,362.9659337493432,80,45,1,Emeroo_Subgroup
303160.62046631915,6445579.675735312,343.5622524529471,120,70,1,Umberatana_Group
305429.4699900911,6445451.099405982,332.2564158602178,140,10,1,Umberatana_Group
310445.3137009891,6453193.47979678,301.4003218236938,310,45,1,Unnamed_GIS_Unit___see_description
312919.6294577052,6456682.931091944,308.5379903923799,225,15,1,Unnamed_GIS_Unit___see_description
315800.19372574065,6456923.095638389,298.9163500000001,85,40,1,Umberatana_Group
316629.07331287477,6457732.555252329,307.3896941980468,130,15,1,Umberatana_Group
321291.94880992576,6457082.616901031,289.068702550759,350,20,1,Umberatana_Group
328604.0902534665,6457985.756699604,239.34842089894676,340,40,1,Umberatana_Group
333789.4006296472,6457735.367147459,210.659470156549,335,70,1,Unnamed_GIS_Unit___see_description
334740.5525635337,6457866.139346752,206.17505349511313,345,40,1,Yudnamutana_Subgroup
335128.11209260847,6456764.461407127,224.42621397180642,335,30,1,Yudnamutana_Subgroup
324778.0676893223,6451139.300659139,263.611274437879,205,30,1,Umberatana_Group
323343.5019567886,6449446.427159607,263.3707050323843,200,25,1,Umberatana_Group
322037.2892631093,6447087.6978788115,269.54028019040067,195,40,1,Umberatana_Group
320549.4327598669,6444511.057246437,268.60899686597975,205,35,1,Umberatana_Group
316985.9178322683,6447282.314238856,290.89262220332637,170,30,1,Umberatana_Group
317352.6661738519,6446332.992754369,303.5655396739777,155,25,1,Umberatana_Group
312870.7873989124,6437458.641015388,355.4298663825949,335,25,1,Wilpena_Group
313474.5316980295,6436880.381368762,344.5673,330,75,1,Wilpena_Group
313503.7767742769,6436003.715110667,347.89733908918123,330,75,1,Wilpena_Group
308314.08416569245,6436629.032499546,448.0310863076762,150,40,1,Wilpena_Group
