GROUP_,id,x,y,z,code
Hamersley Group,15278,502251.59053561,7489934.20915299,682.6951199027333,Brockman_Iron_Formation
Hamersley Group,15278,502072.61093974,7489750.70853443,667.6213412068555,Brockman_Iron_Formation
Hamersley Group,15278,501843.09198085,7489618.21107839,666.2784950674314,Brockman_Iron_Formation
Hamersley Group,15278,501556.22816376,7489473.70652779,635.2247389536308,Brockman_Iron_Formation
Hamersley Group,15278,501046.93818903,7489361.70017556,709.1322465384278,Brockman_Iron_Formation
Fortescue Group,15278,506573.8072893572,7486286.997082645,460.96988258364684,Jeerinah_Formation
Fortescue Group,15278,506356.60067244,7486602.24845381,482.14985883251535,Jeerinah_Formation
Fortescue Group,15278,506126.81907136,7486431.74095279,470.23610040850747,Jeerinah_Formation
Fortescue Group,15278,509119.281440983,7489490.195147263,494.6429744800947,Jeerinah_Formation
Fortescue Group,15278,508996.32096089,7489388.79049674,488.01344668991084,Jeerinah_Formation
Fortescue Group,15278,508274.77063434,7488768.79112523,474.8716104313041,Jeerinah_Formation
Fortescue Group,15278,508070.65771035,7488648.79045303,462.87419266177517,Jeerinah_Formation
Fortescue Group,15278,507758.35928037,7488497.78037464,457.348700257378,Jeerinah_Formation
Fortescue Group,15278,507579.81012754,7488396.78038913,460.98897314013436,Jeerinah_Formation
Fortescue Group,15278,507535.08999106,7488352.76844145,463.5419557288544,Jeerinah_Formation
Fortescue Group,15278,507698.85202143,7488020.77955323,485.3385098359305,Jeerinah_Formation
